Nome;Partido;Estado;Codigo;CD01O091O008804;CD01O091O008805;CD01O091O008806;CD01O091O008807;CD01O091O008808;CD01O092E008810;CD01O092E008811;CD01O092E008812;CD01O092E008813;CD01O094O008814;CD01O094O008815;CD01O094O008817;CD01O094O008818;CD01O100O008819;CD01O109O008822;CD01O109O008823;CD01O109O008824;CD01O109O008826;CD01O110E008832;CD01O111E008835;CD01O114E008846;CD01O122O008858;CD01O122O008859;CD01O123E008860;CD01O123E008861;CD01O123E008863;CD01O123E008864;CD01O123E008865;CD01O124E008866;CD01O124E008867;CD01O124E008868;CD01O124E008869;CD01O124E008870;CD01O124E008871;CD01O124E008872;CD01O124E008873;CD01O127E008874;CD01O127E008875;CD01O127E008876;CD01O127E008877;CD01O127E008878;CD01O127E008879;CD01O127E008880;CD01O127E008881;CD01O127E008883;CD01O127E008891;CD01O128E008893;CD01O128E008894;CD01O128E008895;Lado;tsne-1d-one;tsne-2d-two
ANDRÉ FERREIRA;PSC;Pernambuco;139;Não;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Sim;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não;Não Votou;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;GOVERNO;3.8255022;-7.2013803
ANDRÉ DE PAULA;PSD;Pernambuco;140;Não;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-0.48776972;15.176773
AUGUSTO COUTINHO;Solidariedade;Pernambuco;141;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Obstrução;Não;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não;Sim;Sim;Sim;MINORIA;-13.821449;17.074286
CARLOS VERAS;PT;Pernambuco;142;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Não;Não;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Não;Sim;Sim;Sim;OPOSIÇÃO;-16.524336;9.776542
GONZAGA PATRIOTA;PSB;Pernambuco;143;Obstrução;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Obstrução;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;OPOSIÇÃO;-8.048263;6.2862825
DANIEL COELHO;CIDADANIA;Pernambuco;144;Não;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Não;Não;Sim;Sim;Não;Sim;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Não;Não;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não Votou;Não;Não;Sim;Sim;Sim;MINORIA;-8.5112915;27.996208
FELIPE CARRERAS;PSB;Pernambuco;145;Não;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não;Obstrução;Sim;Sim;Não Votou;Não Votou;Obstrução;Não;Sim;Não;Sim;Não;Não;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-14.049402;-11.627014
FERNANDO MONTEIRO;PP;Pernambuco;146;Não;Não;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Não;Não Votou;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;4.9149976;-7.3823156
FERNANDO RODOLFO;PR;Pernambuco;147;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;GOVERNO;-11.566754;24.465345
DANILO CABRAL;PSB;Pernambuco;148;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não;Não;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Obstrução;Obstrução;Não;Sim;Sim;Sim;OPOSIÇÃO;-20.036552;17.965544
JOÃO H. CAMPOS;PSB;Pernambuco;149;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-13.64957;5.74232
LUCIANO BIVAR;PSL;Pernambuco;150;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-10.036702;9.764541
MARÍLIA ARRAES;PT;Pernambuco;151;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Obstrução;Não Votou;Sim;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;OPOSIÇÃO;-5.8582206;-13.428458
OSSESIO SILVA;PRB;Pernambuco;152;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;14.403568;-2.1385882
RAUL HENRY;MDB;Pernambuco;153;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;GOVERNO;-9.046175;24.641508
RENILDO CALHEIROS;PCdoB;Pernambuco;154;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-14.126408;3.409799
PASTOR EURICO;Patriota;Pernambuco;155;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;MINORIA;4.8340926;11.20935
EDUARDO DA FONTE;PP;Pernambuco;156;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;GOVERNO;0.8245096;3.5426714
RICARDO TEOBALDO;Podemos;Pernambuco;157;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não;Não;Sim;MINORIA;2.5720859;-11.926039
FERNANDO COELHO FILHO;DEM;Pernambuco;158;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;GOVERNO;-5.001844;-4.011185
SEBASTIÃO OLIVEIRA;PR;Pernambuco;159;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;GOVERNO;1.5880612;6.260728
SILVIO COSTA FILHO;PRB;Pernambuco;160;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Não;Não;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-8.848178;20.331045
TADEU ALENCAR;PSB;Pernambuco;161;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não Votou;OPOSIÇÃO;-6.703287;-11.518859
ARTHUR LIRA;PP;Alagoas;162;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Obstrução;Não;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-8.868917;18.721813
TÚLIO GADÊLHA;PDT;Pernambuco;163;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Sim;Sim;MINORIA;-13.346896;21.418568
WOLNEY QUEIROZ;PDT;Pernambuco;164;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Abstenção;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;MINORIA;-14.457351;6.5887136
ISNALDO BULHÕES JR.;MDB;Alagoas;165;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Art.;Art.;Art.;Art.;Art.;Obstrução;Não;Não;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;1.7413789;-4.5905886
NIVALDO ALBUQUERQUE;PTB;Alagoas;166;Não;Não;Sim;Abstenção;Abstenção;Abstenção;Abstenção;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Obstrução;Não;Não;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Não;Obstrução;Obstrução;Não Votou;Não;Obstrução;Não Votou;Obstrução;Não;Sim;Sim;Sim;GOVERNO;-10.462236;23.123745
JHC;PSB;Alagoas;167;Não Votou;Não;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;OPOSIÇÃO;-9.803863;-16.531128
SERGIO TOLEDO;PR;Alagoas;168;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;GOVERNO;2.1358085;8.39261
MARX BELTRÃO;PSD;Alagoas;169;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Não Votou;Não;Sim;Sim;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Sim;Sim;Sim;GOVERNO;-9.244126;26.95146
PAULÃO;PT;Alagoas;170;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;OPOSIÇÃO;-8.222989;-9.21789
SEVERINO PESSOA;PRB;Alagoas;172;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Não;Não Votou;Não;Sim;Sim;Não Votou;GOVERNO;-5.3793716;7.7665043
TEREZA NELMA;PSDB;Alagoas;173;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Não;Abstenção;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;GOVERNO;12.66125;-4.787008
BOSCO COSTA;PR;Sergipe;174;Não Votou;Não;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não Votou;Não;Não;Não;Não Votou;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não;Não;Não;Obstrução;Sim;Não;Não;Sim;Sim;Sim;GOVERNO;-10.174678;23.970129
FÁBIO HENRIQUE;PDT;Sergipe;175;Não;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Sim;Sim;Obstrução;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-12.303943;3.2195013
LAERCIO OLIVEIRA;PP;Sergipe;176;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Não;Sim;Sim;Sim;GOVERNO;6.1993027;9.208976
FÁBIO MITIDIERI;PSD;Sergipe;177;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;-4.3276305;-10.558569
FABIO REIS;MDB;Sergipe;178;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Não;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Não;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Sim;GOVERNO;-8.946808;23.946833
JOÃO DANIEL;PT;Sergipe;179;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não;Sim;Sim;Sim;OPOSIÇÃO;-20.171494;16.444677
ALICE PORTUGAL;PCdoB;Bahia;180;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-11.105655;-8.674629
GUSTINHO RIBEIRO;Solidariedade;Sergipe;181;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Obstrução;Não;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;MINORIA;-7.7809296;20.480797
AFONSO FLORENCE;PT;Bahia;182;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Abstenção;Sim;Sim;Sim;Sim;Abstenção;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-15.714343;4.0724797
VALDEVAN NOVENTA;PSC;Sergipe;183;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Obstrução;Sim;Não;Sim;Não;Não;Não;Não Votou;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;GOVERNO;-9.624725;14.625659
BACELAR;Podemos;Bahia;184;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não Votou;MINORIA;-12.736494;17.965528
LÍDICE DA MATA;PSB;Bahia;185;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Sim;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-13.584188;6.175865
CLAUDIO CAJADO;PP;Bahia;186;Não;Não;Não Votou;Sim;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Não;GOVERNO;0.6196141;10.7878
