Nome;Partido;Estado;Codigo;CC01O010E008955;CD01O185E008959;CD01O185E008960;CD01O187E008961;CD01O187E008962;CD01O187E008963;CD01O187E008964;CD01O187E008965;CD01O188E008966;CD01O188E008967;CD01O188E008968;CD01O189E008969;CD01O189E008970;CD01O189E008971;CD01O189E008972;CD01O191E008973;CD01O191E008974;CD01O191E008975;CD01O192E008976;CD01O192E008977;CD01O192E008978;CD01O192E008979;CD01O194E008980;CD01O194E008981;CD01O194E008982;CD01O194E008983;CD01O195E008984;CD01O195E008985;CD01O195E008986;CD01O195E008988;CD01O196E008989;CD01O196E008990;CD01O196E008991;CD01O196E008992;CD01O196E008993;Lado;tsne-1d-one;tsne-2d-two
GIL CUTRIM;PDT;Maranhão;77;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;MINORIA;-16.271534;-12.194912
JOSIMAR MARANHÃOZINHO;PL;Maranhão;78;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;4.8580713;2.8728235
JUSCELINO FILHO;DEM;Maranhão;79;Não Votou;Sim;Não;Não;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;4.9787865;19.922014
JUNIOR LOURENÇO;PL;Maranhão;80;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Sim;Não Votou;MINORIA;2.1741562;4.8487177
MÁRCIO JERRY;PCdoB;Maranhão;82;Obstrução;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Sim;Não;Não;Não;Sim;OPOSIÇÃO;-26.881435;-12.550323
MARRECA FILHO;Patriota;Maranhão;83;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;19.001385;18.46552
PASTOR GILDENEMYR;PMN;Maranhão;84;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;7.1667085;-6.9247355
PEDRO LUCAS FERNANDES;PTB;Maranhão;85;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;4.649482;8.245486
ZÉ CARLOS;PT;Maranhão;86;Não;Obstrução;Não;Abstenção;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-30.87848;-12.161888
AJ ALBUQUERQUE;PP;Ceará;87;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;-1.2162299;5.888949
CAPITÃO WAGNER;PROS;Ceará;88;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;MINORIA;-25.328152;-10.106453
ANDRÉ FIGUEIREDO;PDT;Ceará;89;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;MINORIA;-20.163033;-18.025011
CÉLIO STUDART;PV;Ceará;90;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;MINORIA;-20.665226;-28.358955
DENIS BEZERRA;PSB;Ceará;91;Obstrução;Sim;Não;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Obstrução;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-21.779026;-21.449099
DR. JAZIEL;PL;Ceará;92;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;-7.1985574;8.993562
EDUARDO BISMARCK;PDT;Ceará;93;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Sim;Sim;Não Votou;Sim;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;MINORIA;-18.761108;-17.234247
HEITOR FREIRE;PSL;Ceará;94;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;GOVERNO;27.30051;12.681542
IDILVAN ALENCAR;PDT;Ceará;95;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;MINORIA;-20.403336;-16.925056
LEÔNIDAS CRISTINO;PDT;Ceará;96;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;MINORIA;-20.343203;-18.248259
DOMINGOS NETO;PSD;Ceará;97;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;-1.7629813;-7.480301
LUIZIANNE LINS;PT;Ceará;98;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Não Votou;Não;Não;Não;Obstrução;Não;Sim;Não;Não Votou;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-32.91739;-13.713254
GENECIAS NORONHA;Solidariedade;Ceará;99;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;5.765554;20.26211
JÚNIOR MANO;PL;Ceará;100;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;3.4716678;-4.9685717
JOSÉ AIRTON CIRILO;PT;Ceará;101;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Não;Sim;Obstrução;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-10.109263;-13.047918
JOSÉ GUIMARÃES;PT;Ceará;103;Não;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-27.82059;-15.183945
PEDRO AUGUSTO BEZERRA;PTB;Ceará;104;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;0.56268597;11.91642
ROBÉRIO MONTEIRO;PDT;Ceará;105;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Não Votou;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não;Sim;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;MINORIA;-19.601517;-17.46703
MOSES RODRIGUES;MDB;Ceará;106;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não Votou;GOVERNO;10.919016;-2.3247914
ROBERTO PESSOA;PSDB;Ceará;107;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;GOVERNO;-0.07902262;-3.8757186
VAIDON OLIVEIRA;PROS;Ceará;108;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;10.313132;2.7186143
ÁTILA LIRA;PSB;Piauí;109;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;OPOSIÇÃO;0.8472609;2.0669796
FLÁVIO NOGUEIRA;PDT;Piauí;110;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Sim;Obstrução;Sim;Não Votou;Obstrução;Não;Sim;Sim;Sim;Abstenção;Não;Não;Sim;Não;Não Votou;Não;Sim;Sim;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;MINORIA;-17.879892;-16.038513
ASSIS CARVALHO;PT;Piauí;111;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Não;Sim;Obstrução;Não Votou;Não;Não;Obstrução;Não;Sim;Não;Não Votou;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-29.252281;-11.496138
IRACEMA PORTELLA;PP;Piauí;113;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;5.4463015;16.05632
JÚLIO CESAR;PSD;Piauí;114;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;16.83521;16.054876
MARCOS AURÉLIO SAMPAIO;MDB;Piauí;115;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;8.7431345;11.258538
REJANE DIAS;PT;Piauí;116;Não Votou;Abstenção;Abstenção;Não Votou;Abstenção;Abstenção;Abstenção;Abstenção;Sim;Sim;Não;Abstenção;Não Votou;Abstenção;Não Votou;Abstenção;Não;Sim;Abstenção;Não;Não;Não;Obstrução;Não;Sim;Não;Abstenção;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-32.400208;-10.483922
MARGARETE COELHO;PP;Piauí;117;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;2.0829878;-4.804867
MARINA SANTOS;Solidariedade;Piauí;118;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;14.569848;12.570695
FÁBIO FARIA;PSD;Rio Grande do Norte;119;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;20.244663;5.8766108
BENES LEOCÁDIO;PRB;Rio Grande do Norte;120;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;15.00351;10.381768
BETO ROSADO;PP;Rio Grande do Norte;121;Sim;Não Votou;Não;Não Votou;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;1.3367834;-6.523941
GENERAL GIRÃO;PSL;Rio Grande do Norte;122;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-9.685835;-12.058985
RAFAEL MOTTA;PSB;Rio Grande do Norte;123;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Não Votou;Sim;Não;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Não Votou;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-25.15863;-22.629831
JOÃO MAIA;PL;Rio Grande do Norte;124;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;4.8708143;-1.0666783
WALTER ALVES;MDB;Rio Grande do Norte;125;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;GOVERNO;10.956511;-2.2189314
NATÁLIA BONAVIDES;PT;Rio Grande do Norte;126;Não;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-32.135456;-11.920384
DAMIÃO FELICIANO;PDT;Paraíba;127;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não;Sim;MINORIA;-21.993025;-17.569338
EFRAIM FILHO;DEM;Paraíba;128;Não Votou;Sim;Não;Não;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;19.182106;8.242935
AGUINALDO RIBEIRO;PP;Paraíba;129;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;-2.15495;-11.166648
EDNA HENRIQUE;PSDB;Paraíba;130;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-9.360073;1.3237193
FREI ANASTACIO RIBEIRO;PT;Paraíba;131;Não;Abstenção;Abstenção;Abstenção;Abstenção;Abstenção;Abstenção;Não;Sim;Sim;Não;Abstenção;Abstenção;Abstenção;Abstenção;Abstenção;Não;Sim;Obstrução;Não;Não;Não;Abstenção;Não;Não Votou;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-33.17165;-9.624937
HUGO MOTTA;PRB;Paraíba;132;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não Votou;Sim;Não;Não;Não;Não;Não;Não;Sim;GOVERNO;-22.121891;-10.809037
GERVÁSIO MAIA;PSB;Paraíba;133;Obstrução;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Obstrução;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-24.202322;-21.893272
JULIAN LEMOS;PSL;Paraíba;134;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;15.004206;10.381958
PEDRO CUNHA LIMA;PSDB;Paraíba;135;Não;Não Votou;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;7.2748666;-4.3659797
WELLINGTON ROBERTO;PL;Paraíba;136;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;-1.7589744;-9.737315
RUY CARNEIRO;PSDB;Paraíba;137;Não Votou;Sim;Não;Não;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;3.6014576;-7.7652206
WILSON SANTIAGO;PTB;Paraíba;138;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Sim;GOVERNO;10.695128;5.680872
ANDRÉ FERREIRA;PSC;Pernambuco;139;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;GOVERNO;22.105194;9.770849
ANDRÉ DE PAULA;PSD;Pernambuco;140;Não Votou;Sim;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;7.809348;8.687952
AUGUSTO COUTINHO;Solidariedade;Pernambuco;141;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;7.072523;-7.812194
CARLOS VERAS;PT;Pernambuco;142;Não;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-27.424805;-13.235702
GONZAGA PATRIOTA;PSB;Pernambuco;143;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;OPOSIÇÃO;-23.436796;-18.440207
DANIEL COELHO;CIDADANIA;Pernambuco;144;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-7.1323495;-9.322985
FELIPE CARRERAS;PSB;Pernambuco;145;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;OPOSIÇÃO;-16.837048;-10.451758
FERNANDO MONTEIRO;PP;Pernambuco;146;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;GOVERNO;-20.872488;-11.322304
FERNANDO RODOLFO;PL;Pernambuco;147;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;-0.3591437;3.2236683
DANILO CABRAL;PSB;Pernambuco;148;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-23.944515;-22.80163
JOÃO H. CAMPOS;PSB;Pernambuco;149;Obstrução;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Obstrução;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-22.276707;-21.409803
LUCIANO BIVAR;PSL;Pernambuco;150;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;-3.418423;-9.916185
MARÍLIA ARRAES;PT;Pernambuco;151;Não Votou;Sim;Não;Não;Não Votou;Sim;Não Votou;Sim;Sim;Não Votou;Não;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Não Votou;Não;Sim;Não;Obstrução;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-28.45799;-13.387836
