Nome;Partido;Estado;Codigo;CC01O007E008923;CD01O137E008915;CD01O137E008916;CD01O137E008917;CD01O137E008918;CD01O137E008919;CD01O137E008920;CD01O137E008921;CD01O137E008922;CD01O155E008925;CD01O155E008927;CD01O166O008930;CD01O166O008934;CD01O167E008936;CD01O170O008943;CD01O170O008950;CD01O171E008952;SF01O007E008924;Lado;tsne-1d-one;tsne-2d-two
FÁBIO FARIA;PSD;Rio Grande do Norte;119;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;;GOVERNO;6.277421;4.362144
BENES LEOCÁDIO;PRB;Rio Grande do Norte;120;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;-15.2273445;6.6211195
BETO ROSADO;PP;Rio Grande do Norte;121;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Sim;;GOVERNO;-6.2478647;13.943395
GENERAL GIRÃO;PSL;Rio Grande do Norte;122;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;6.9597716;3.6799757
RAFAEL MOTTA;PSB;Rio Grande do Norte;123;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não Votou;;OPOSIÇÃO;-11.370709;-20.443632
JOÃO MAIA;PL;Rio Grande do Norte;124;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;;MINORIA;13.605368;23.628357
WALTER ALVES;MDB;Rio Grande do Norte;125;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;;GOVERNO;-0.9408204;15.049529
NATÁLIA BONAVIDES;PT;Rio Grande do Norte;126;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;OPOSIÇÃO;-10.923146;-14.329741
DAMIÃO FELICIANO;PDT;Paraíba;127;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;;MINORIA;-11.302397;-9.840734
EFRAIM FILHO;DEM;Paraíba;128;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;-0.03294994;10.916059
AGUINALDO RIBEIRO;PP;Paraíba;129;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;-7.201667;4.7465
EDNA HENRIQUE;PSDB;Paraíba;130;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;11.91759;0.6090044
FREI ANASTACIO RIBEIRO;PT;Paraíba;131;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não;Não Votou;Abstenção;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;OPOSIÇÃO;-12.298253;-15.666981
HUGO MOTTA;PRB;Paraíba;132;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;10.51414;21.735464
GERVÁSIO MAIA;PSB;Paraíba;133;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Sim;;OPOSIÇÃO;-16.938206;-23.588156
JULIAN LEMOS;PSL;Paraíba;134;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Abstenção;Não;Não;Não;Não;;GOVERNO;19.89251;-9.200214
PEDRO CUNHA LIMA;PSDB;Paraíba;135;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não;;GOVERNO;12.736736;9.152754
WELLINGTON ROBERTO;PL;Paraíba;136;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Sim;;MINORIA;-5.9740367;13.421102
RUY CARNEIRO;PSDB;Paraíba;137;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Não;;GOVERNO;16.384825;3.6198
WILSON SANTIAGO;PTB;Paraíba;138;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;13.407206;20.579454
ANDRÉ FERREIRA;PSC;Pernambuco;139;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;7.6154437;3.4486823
ANDRÉ DE PAULA;PSD;Pernambuco;140;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;;GOVERNO;7.827799;9.385987
AUGUSTO COUTINHO;Solidariedade;Pernambuco;141;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;10.111408;-2.128838
CARLOS VERAS;PT;Pernambuco;142;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Não;Sim;Não Votou;;OPOSIÇÃO;-23.714222;-23.616688
GONZAGA PATRIOTA;PSB;Pernambuco;143;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Obstrução;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-14.8335705;10.313015
DANIEL COELHO;CIDADANIA;Pernambuco;144;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Não;Não Votou;;MINORIA;-10.131811;-6.839652
FELIPE CARRERAS;PSB;Pernambuco;145;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Não;Não;Sim;Sim;Não;Sim;;OPOSIÇÃO;-16.194227;0.39779958
FERNANDO MONTEIRO;PP;Pernambuco;146;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;-12.273687;8.089122
FERNANDO RODOLFO;PL;Pernambuco;147;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Não;Sim;Abstenção;;MINORIA;10.004287;21.904263
DANILO CABRAL;PSB;Pernambuco;148;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Sim;Sim;Não;;OPOSIÇÃO;-9.355924;-20.12158
JOÃO H. CAMPOS;PSB;Pernambuco;149;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-18.440937;-19.854458
LUCIANO BIVAR;PSL;Pernambuco;150;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;-7.38649;3.6176162
MARÍLIA ARRAES;PT;Pernambuco;151;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Não Votou;;OPOSIÇÃO;-10.791362;5.497783
OSSESIO SILVA;PRB;Pernambuco;152;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;12.542537;17.163689
RAUL HENRY;MDB;Pernambuco;153;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;;GOVERNO;-15.914072;2.3303292
RENILDO CALHEIROS;PCdoB;Pernambuco;154;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Obstrução;Não Votou;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-18.032925;-18.761549
PASTOR EURICO;Patriota;Pernambuco;155;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não;;MINORIA;21.908092;-8.151301
EDUARDO DA FONTE;PP;Pernambuco;156;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Sim;Sim;Sim;;GOVERNO;-5.8687425;8.86835
RICARDO TEOBALDO;Podemos;Pernambuco;157;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;5.35744;0.7743506
FERNANDO COELHO FILHO;DEM;Pernambuco;158;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;;GOVERNO;7.865712;9.434348
SEBASTIÃO OLIVEIRA;PL;Pernambuco;159;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;3.6938436;3.8950455
SILVIO COSTA FILHO;PRB;Pernambuco;160;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;;GOVERNO;5.3765626;20.17061
TADEU ALENCAR;PSB;Pernambuco;161;Não Votou;Não Votou;Sim;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;;OPOSIÇÃO;-9.583552;-4.1119695
ARTHUR LIRA;PP;Alagoas;162;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;;GOVERNO;0.45386308;17.090422
TÚLIO GADÊLHA;PDT;Pernambuco;163;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não;Sim;Não Votou;Obstrução;Sim;;MINORIA;-16.014702;-14.613782
WOLNEY QUEIROZ;PDT;Pernambuco;164;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;;MINORIA;-10.954596;-8.11414
ISNALDO BULHÕES JR.;MDB;Alagoas;165;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Sim;;GOVERNO;0.20403089;12.5176
NIVALDO ALBUQUERQUE;PTB;Alagoas;166;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;6.3665147;18.881323
JHC;PSB;Alagoas;167;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não;;OPOSIÇÃO;4.1151867;-5.30932
SERGIO TOLEDO;PL;Alagoas;168;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;;MINORIA;-12.721037;4.973056
MARX BELTRÃO;PSD;Alagoas;169;Não Votou;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;-0.2304191;18.718876
PAULÃO;PT;Alagoas;170;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não Votou;Sim;Não;Sim;Sim;;OPOSIÇÃO;-21.802164;-20.153706
SEVERINO PESSOA;PRB;Alagoas;172;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não;Não Votou;Sim;Não Votou;;GOVERNO;14.714063;3.1337674
TEREZA NELMA;PSDB;Alagoas;173;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não Votou;Sim;Não;;GOVERNO;-11.090529;0.242361
BOSCO COSTA;PL;Sergipe;174;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Sim;Não;Não;Sim;;MINORIA;-15.02596;2.3265288
FÁBIO HENRIQUE;PDT;Sergipe;175;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Obstrução;Sim;;MINORIA;-14.863572;-13.699225
LAERCIO OLIVEIRA;PP;Sergipe;176;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;-13.482441;6.2913547
FÁBIO MITIDIERI;PSD;Sergipe;177;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;-0.98260224;9.803571
FABIO REIS;MDB;Sergipe;178;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Sim;Sim;;GOVERNO;1.3170288;17.154589
JOÃO DANIEL;PT;Sergipe;179;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-20.528227;-20.933256
ALICE PORTUGAL;PCdoB;Bahia;180;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-19.94282;-22.164007
GUSTINHO RIBEIRO;Solidariedade;Sergipe;181;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;7.6206617;3.4457114
AFONSO FLORENCE;PT;Bahia;182;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não Votou;Sim;Não;Sim;Sim;;OPOSIÇÃO;-22.391018;-19.623344
VALDEVAN NOVENTA;PSC;Sergipe;183;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;-10.601678;-11.358445
BACELAR;Podemos;Bahia;184;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Obstrução;Não;Não;Sim;Não;Sim;Sim;;MINORIA;-20.346252;-25.817223
LÍDICE DA MATA;PSB;Bahia;185;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Sim;Sim;;OPOSIÇÃO;-15.482085;7.3777018
CLAUDIO CAJADO;PP;Bahia;186;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não;Sim;;GOVERNO;-17.217459;1.9796411
JOÃO CARLOS BACELAR;PL;Bahia;187;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Sim;;MINORIA;-11.252758;8.615047
DANIEL ALMEIDA;PCdoB;Bahia;188;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não Votou;;OPOSIÇÃO;-23.771952;-24.141775
ANTONIO BRITO;PSD;Bahia;189;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Abstenção;Não;;GOVERNO;7.1581664;-5.679093
ABÍLIO SANTANA;PL;Bahia;190;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;;MINORIA;14.310705;17.083944
ADOLFO VIANA;PSDB;Bahia;191;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Não;;GOVERNO;16.598629;7.7998443
ARTHUR OLIVEIRA MAIA;DEM;Bahia;192;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Sim;;GOVERNO;-10.939403;9.5172
CACÁ LEÃO;PP;Bahia;193;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;;GOVERNO;7.911152;11.775969
ALEX SANTANA;PDT;Bahia;194;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Obstrução;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;;MINORIA;-12.484825;-11.739805
FÉLIX MENDONÇA JÚNIOR;PDT;Bahia;195;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-9.880017;-12.927366
CHARLES FERNANDES;PSD;Bahia;196;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;8.82344;16.987953
IGOR KANNÁRIO;PHS;Bahia;197;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;9.25391;-0.12585716
ELMAR NASCIMENTO;DEM;Bahia;198;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Sim;;GOVERNO;-12.073979;8.027132
JOÃO ROMA;PRB;Bahia;199;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Não Votou;;GOVERNO;16.222128;13.070076
LEUR LOMANTO JÚNIOR;DEM;Bahia;200;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;;GOVERNO;0.6672893;8.354437
JOSÉ NUNES;PSD;Bahia;201;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;12.117221;19.585682
JOSÉ ROCHA;PL;Bahia;203;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;;MINORIA;8.608742;4.7738447
JORGE SOLLA;PT;Bahia;204;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;OPOSIÇÃO;-11.7833605;-14.929564
MARCELO NILO;PSB;Bahia;205;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Obstrução;Não Votou;Não;Não;Sim;Sim;Sim;Sim;;OPOSIÇÃO;-19.712818;-15.222977
OTTO ALENCAR FILHO;PSD;Bahia;206;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;;GOVERNO;1.4927423;7.845651
PASTOR SARGENTO ISIDÓRIO;Avate;Bahia;207;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;-10.18531;-14.732217
MÁRIO NEGROMONTE JR.;PP;Bahia;208;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;-20.382452;-20.035528
NELSON PELLEGRINO;PT;Bahia;209;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-19.942682;-19.557623
PROFESSORA DAYANE PIMENTEL;PSL;Bahia;210;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;10.18579;0.29931414
RAIMUNDO COSTA;PL;Bahia;211;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;MINORIA;10.38285;0.25336105
MÁRCIO MARINHO;PRB;Bahia;212;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não;Não Votou;Não;Não;Sim;Não;Sim;Sim;;GOVERNO;7.6735277;16.341518
TITO;Avate;Bahia;214;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Não;Não Votou;Não;Não;;MINORIA;16.455624;-7.3292894
PAULO AZI;DEM;Bahia;215;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;;GOVERNO;-6.9876447;10.733603
RONALDO CARLETTO;PP;Bahia;216;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;;GOVERNO;10.26082;0.75612235
ZÉ NETO;PT;Bahia;217;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Obstrução;Não;Não Votou;Sim;Não;Sim;Sim;;OPOSIÇÃO;-23.745583;-18.133018
VALMIR ASSUNÇÃO;PT;Bahia;218;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;-20.525719;-20.932566
WALDENOR PEREIRA;PT;Bahia;219;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;;OPOSIÇÃO;-8.696539;5.387798
ULDURICO JUNIOR;PROS;Bahia;220;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Obstrução;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;;MINORIA;14.110005;1.1756766
AÉCIO NEVES;PSDB;Minas Gerais;221;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;;GOVERNO;9.067326;4.979912
ALÊ SILVA;PSL;Minas Gerais;222;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;;GOVERNO;9.115186;-6.5061183
ANDRÉ JANONES;Avate;Minas Gerais;223;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;MINORIA;-20.744593;-18.611403
ÁUREA CAROLINA;PSOL;Minas Gerais;224;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Obstrução;Não Votou;Não;;OPOSIÇÃO;-4.826279;-19.121384
CABO JUNIO AMARAL;PSL;Minas Gerais;225;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não;Não;Não Votou;Não;;GOVERNO;19.803244;-8.486429
CHARLLES EVANGELISTA;PSL;Minas Gerais;226;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Não;;GOVERNO;8.6843605;-8.114872
DELEGADO MARCELO FREITAS;PSL;Minas Gerais;227;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Não;;GOVERNO;8.684548;-8.1158085
DIEGO ANDRADE;PSD;Minas Gerais;228;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;;GOVERNO;-2.0646224;7.1071343
DR. FREDERICO;Patriota;Minas Gerais;229;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;;MINORIA;5.235564;-8.238127
EDUARDO BARBOSA;PSDB;Minas Gerais;230;Sim;Sim;Sim;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Não Votou;Não;Não;Não;;GOVERNO;4.3778706;-12.483801
DIMAS FABIANO;PP;Minas Gerais;231;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;13.221546;19.70361
BILAC PINTO;DEM;Minas Gerais;232;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Sim;Sim;;GOVERNO;2.3223336;11.316853
DOMINGOS SÁVIO;PSDB;Minas Gerais;233;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;;GOVERNO;16.25878;19.848078
EMIDINHO MADEIRA;PSB;Minas Gerais;234;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;;OPOSIÇÃO;11.922261;18.10255
